video_id,video_title,stage,parent_id,status_code,message
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,Ugx-Mc-jjfGBIIiqP1F4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgyWX-1g4_WDjn79kgl4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,Ugxicjkz-ka_dO1fNIp4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,Ugx_qgZzorjWYnfxURR4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgzWYGMes_CIdBG0CAx4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgwfcuP0e18xwFdyUM14AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgyXSq-HQrDds_Hg0JF4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,Ugw0W1-t5vCaJpBHqBF4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgwTDI0PNJVAznQldfd4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
Y5TcrxBcV6E,Google Pixel 10 vs Pixel 9: The Ultimate Camera Test!,comments.list,UgwKag9AK_mLXO4PY2V4AaABAg,403,"YouTube API request failed for comments: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
    ""errors"": [
      {
        ""message"": ""The request cannot be completed because you have exceeded your \u003ca href=\""/youtube/v3/getting-started#quota\""\u003equota\u003c/a\u003e."",
        ""domain"": ""youtube.quota"",
        ""reason"": ""quotaExceeded""
      }
    ]
  }
}"
