run,pred_col,samples_evaluated,accuracy,precision_negative,recall_negative,f1_negative,precision_neutral,recall_neutral,f1_neutral,precision_positive,recall_positive,f1_positive,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Run1_RoBERTa_only,final_sentiment,1000,0.588,0.6936,0.5787,0.6309,0.6029,0.491,0.5413,0.5058,0.7101,0.5908,0.3605,0.356,0.3526,0.6036,0.588,0.5868
Run2_Preprocess+RoBERTa,final_sentiment,1000,0.592,0.6946,0.5815,0.633,0.618,0.494,0.5491,0.5057,0.7166,0.593,0.3637,0.3584,0.355,0.609,0.592,0.5908
Run3_Subjectivity+RoBERTa,final_sentiment,1000,0.582,0.6923,0.5562,0.6168,0.5728,0.5419,0.5569,0.5101,0.6612,0.5759,0.355,0.3519,0.3499,0.5944,0.582,0.5824
Run4_Hybrid_DeBERTa_base,final_sentiment,1000,0.573,0.6518,0.573,0.6099,0.5678,0.5389,0.553,0.5108,0.6156,0.5583,0.3461,0.3455,0.3442,0.5785,0.573,0.5732
Run5_Hybrid_DeBERTa_finetuned,final_sentiment,1000,0.567,0.66,0.5562,0.6037,0.5538,0.5389,0.5463,0.504,0.6156,0.5543,0.3436,0.3421,0.3408,0.5747,0.567,0.5675
